2023-03-14 14:02:53 status half-installed libblkid1:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:53 status unpacked libblkid1:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:53 install libbz2-1.0:amd64 <none> 1.0.8-5build1
2023-03-14 14:02:53 status half-installed libbz2-1.0:amd64 1.0.8-5build1
2023-03-14 14:02:53 status unpacked libbz2-1.0:amd64 1.0.8-5build1
2023-03-14 14:02:53 install libc-bin:amd64 <none> 2.37-0ubuntu1
2023-03-14 14:02:53 status half-installed libc-bin:amd64 2.37-0ubuntu1
2023-03-14 14:02:53 status unpacked libc-bin:amd64 2.37-0ubuntu1
2023-03-14 14:02:53 upgrade libc6:amd64 2.37-0ubuntu1 2.37-0ubuntu1
2023-03-14 14:02:53 status half-configured libc6:amd64 2.37-0ubuntu1
2023-03-14 14:02:53 status unpacked libc6:amd64 2.37-0ubuntu1
2023-03-14 14:02:53 status half-installed libc6:amd64 2.37-0ubuntu1
2023-03-14 14:02:53 status unpacked libc6:amd64 2.37-0ubuntu1
2023-03-14 14:02:53 install libcap-ng0:amd64 <none> 0.8.3-1build2
2023-03-14 14:02:53 status half-installed libcap-ng0:amd64 0.8.3-1build2
2023-03-14 14:02:53 status unpacked libcap-ng0:amd64 0.8.3-1build2
2023-03-14 14:02:53 install libcap2:amd64 <none> 1:2.66-3ubuntu2
2023-03-14 14:02:53 status half-installed libcap2:amd64 1:2.66-3ubuntu2
2023-03-14 14:02:53 status unpacked libcap2:amd64 1:2.66-3ubuntu2
2023-03-14 14:02:53 install libcom-err2:amd64 <none> 1.46.6~rc1-1ubuntu1
2023-03-14 14:02:53 status half-installed libcom-err2:amd64 1.46.6~rc1-1ubuntu1
2023-03-14 14:02:53 status unpacked libcom-err2:amd64 1.46.6~rc1-1ubuntu1
2023-03-14 14:02:53 install libcrypt1:amd64 <none> 1:4.4.33-2
2023-03-14 14:02:53 status half-installed libcrypt1:amd64 1:4.4.33-2
2023-03-14 14:02:53 status unpacked libcrypt1:amd64 1:4.4.33-2
2023-03-14 14:02:53 install libdb5.3:amd64 <none> 5.3.28+dfsg2-1
2023-03-14 14:02:53 status half-installed libdb5.3:amd64 5.3.28+dfsg2-1
2023-03-14 14:02:53 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2023-03-14 14:02:53 install libdebconfclient0:amd64 <none> 0.267ubuntu1
2023-03-14 14:02:53 status half-installed libdebconfclient0:amd64 0.267ubuntu1
2023-03-14 14:02:53 status unpacked libdebconfclient0:amd64 0.267ubuntu1
2023-03-14 14:02:53 install libext2fs2:amd64 <none> 1.46.6~rc1-1ubuntu1
2023-03-14 14:02:53 status half-installed libext2fs2:amd64 1.46.6~rc1-1ubuntu1
2023-03-14 14:02:53 status unpacked libext2fs2:amd64 1.46.6~rc1-1ubuntu1
2023-03-14 14:02:53 install libgcc-s1:amd64 <none> 13-20230305-1ubuntu1
2023-03-14 14:02:53 status half-installed libgcc-s1:amd64 13-20230305-1ubuntu1
2023-03-14 14:02:53 status unpacked libgcc-s1:amd64 13-20230305-1ubuntu1
2023-03-14 14:02:53 install libgcrypt20:amd64 <none> 1.10.1-3ubuntu1
2023-03-14 14:02:53 status half-installed libgcrypt20:amd64 1.10.1-3ubuntu1
2023-03-14 14:02:54 status unpacked libgcrypt20:amd64 1.10.1-3ubuntu1
2023-03-14 14:02:54 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1ubuntu1
2023-03-14 14:02:54 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1ubuntu1
2023-03-14 14:02:54 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1ubuntu1
2023-03-14 14:02:54 install libgpg-error0:amd64 <none> 1.46-1
2023-03-14 14:02:54 status half-installed libgpg-error0:amd64 1.46-1
2023-03-14 14:02:54 status unpacked libgpg-error0:amd64 1.46-1
2023-03-14 14:02:54 install liblz4-1:amd64 <none> 1.9.4-1
2023-03-14 14:02:54 status half-installed liblz4-1:amd64 1.9.4-1
2023-03-14 14:02:54 status unpacked liblz4-1:amd64 1.9.4-1
2023-03-14 14:02:54 install liblzma5:amd64 <none> 5.4.1-0.0
2023-03-14 14:02:54 status half-installed liblzma5:amd64 5.4.1-0.0
2023-03-14 14:02:54 status unpacked liblzma5:amd64 5.4.1-0.0
2023-03-14 14:02:54 install libmd0:amd64 <none> 1.0.4-2
2023-03-14 14:02:54 status half-installed libmd0:amd64 1.0.4-2
2023-03-14 14:02:54 status unpacked libmd0:amd64 1.0.4-2
2023-03-14 14:02:54 install libmount1:amd64 <none> 2.38.1-4ubuntu1
2023-03-14 14:02:54 status half-installed libmount1:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:54 status unpacked libmount1:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:54 install libncurses6:amd64 <none> 6.4-2
2023-03-14 14:02:54 status half-installed libncurses6:amd64 6.4-2
2023-03-14 14:02:54 status unpacked libncurses6:amd64 6.4-2
2023-03-14 14:02:54 install libncursesw6:amd64 <none> 6.4-2
2023-03-14 14:02:54 status half-installed libncursesw6:amd64 6.4-2
2023-03-14 14:02:54 status unpacked libncursesw6:amd64 6.4-2
2023-03-14 14:02:54 install libpam-modules:amd64 <none> 1.5.2-5ubuntu1
2023-03-14 14:02:54 status half-installed libpam-modules:amd64 1.5.2-5ubuntu1
2023-03-14 14:02:54 status unpacked libpam-modules:amd64 1.5.2-5ubuntu1
2023-03-14 14:02:54 install libpam-modules-bin:amd64 <none> 1.5.2-5ubuntu1
2023-03-14 14:02:54 status half-installed libpam-modules-bin:amd64 1.5.2-5ubuntu1
2023-03-14 14:02:54 status unpacked libpam-modules-bin:amd64 1.5.2-5ubuntu1
2023-03-14 14:02:54 install libpam-runtime:all <none> 1.5.2-5ubuntu1
2023-03-14 14:02:54 status half-installed libpam-runtime:all 1.5.2-5ubuntu1
2023-03-14 14:02:54 status unpacked libpam-runtime:all 1.5.2-5ubuntu1
2023-03-14 14:02:54 install libpam0g:amd64 <none> 1.5.2-5ubuntu1
2023-03-14 14:02:54 status half-installed libpam0g:amd64 1.5.2-5ubuntu1
2023-03-14 14:02:54 status unpacked libpam0g:amd64 1.5.2-5ubuntu1
2023-03-14 14:02:54 install libpcre2-8-0:amd64 <none> 10.42-1
2023-03-14 14:02:54 status half-installed libpcre2-8-0:amd64 10.42-1
2023-03-14 14:02:54 status unpacked libpcre2-8-0:amd64 10.42-1
2023-03-14 14:02:54 install libproc2-0:amd64 <none> 2:4.0.3-1ubuntu1
2023-03-14 14:02:54 status half-installed libproc2-0:amd64 2:4.0.3-1ubuntu1
2023-03-14 14:02:54 status unpacked libproc2-0:amd64 2:4.0.3-1ubuntu1
2023-03-14 14:02:54 install libselinux1:amd64 <none> 3.4-1build4
2023-03-14 14:02:54 status half-installed libselinux1:amd64 3.4-1build4
2023-03-14 14:02:54 status unpacked libselinux1:amd64 3.4-1build4
2023-03-14 14:02:54 install libsemanage-common:all <none> 3.4-1build4
2023-03-14 14:02:54 status half-installed libsemanage-common:all 3.4-1build4
2023-03-14 14:02:54 status unpacked libsemanage-common:all 3.4-1build4
2023-03-14 14:02:54 install libsemanage2:amd64 <none> 3.4-1build4
2023-03-14 14:02:54 status half-installed libsemanage2:amd64 3.4-1build4
2023-03-14 14:02:54 status unpacked libsemanage2:amd64 3.4-1build4
2023-03-14 14:02:54 install libsepol2:amd64 <none> 3.4-2
2023-03-14 14:02:54 status half-installed libsepol2:amd64 3.4-2
2023-03-14 14:02:54 status unpacked libsepol2:amd64 3.4-2
2023-03-14 14:02:54 install libsmartcols1:amd64 <none> 2.38.1-4ubuntu1
2023-03-14 14:02:54 status half-installed libsmartcols1:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:54 status unpacked libsmartcols1:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:54 install libss2:amd64 <none> 1.46.6~rc1-1ubuntu1
2023-03-14 14:02:54 status half-installed libss2:amd64 1.46.6~rc1-1ubuntu1
2023-03-14 14:02:54 status unpacked libss2:amd64 1.46.6~rc1-1ubuntu1
2023-03-14 14:02:54 install libsystemd0:amd64 <none> 252.5-2ubuntu1
